"","name","order","mum","site","Provenences","proc"
"1","5001",1,"37","1","JUDY","4"
"2","5002",2,"64","1","JUDY","4"
"3","5003",3,"64","1","JUDY","4"
"4","5004",4,"18","1","JUDY","3"
"5","5005",5,"18","1","JUDY","3"
"6","5006",6,"18","1","JUDY","3"
"7","5008",7,"19","1","JUDY","3"
"8","5013",8,"41","1","JUDY","4"
"9","5014",9,"40","1","JUDY","4"
"10","5015",10,"40","1","JUDY","4"
"11","5016",11,"40","1","JUDY","4"
"12","5017",12,"1","1","JUDY","3"
"13","5018",13,"1","1","JUDY","3"
"14","5019",14,"4","1","JUDY","3"
"15","5020",15,"4","1","JUDY","3"
"16","5021",16,"4","1","JUDY","3"
"17","5022",17,"10","1","JUDY","3"
"18","5023",18,"10","1","JUDY","3"
"19","5024",19,"10","1","JUDY","3"
"20","5025",20,"11","1","JUDY","3"
"21","5026",21,"11","1","JUDY","3"
"22","5027",22,"11","1","JUDY","3"
"23","5028",23,"47","1","JUDY","4"
"24","5029",24,"47","1","JUDY","4"
"25","5030",25,"47","1","JUDY","4"
"26","5031",26,"28","1","JUDY","5"
"27","5032",27,"28","1","JUDY","5"
"28","5033",28,"28","1","JUDY","5"
"29","5034",29,"13","1","JUDY","3"
"30","5035",30,"13","1","JUDY","3"
"31","5036",31,"12","1","JUDY","3"
"32","5037",32,"12","1","JUDY","3"
"33","5038",33,"12","1","JUDY","3"
"34","5039",34,"58","1","JUDY","5"
"35","5040",35,"58","1","JUDY","5"
"36","5041",36,"58","1","JUDY","5"
"37","5042",37,"42","1","JUDY","2"
"38","5043",38,"42","1","JUDY","2"
"39","5044",39,"42","1","JUDY","2"
"40","5045",40,"42","1","JUDY","2"
"41","5046",41,"29","1","JUDY","4"
"42","5047",42,"29","1","JUDY","4"
"43","5048",43,"29","1","JUDY","4"
"44","5049",44,"54","1","JUDY","5"
"45","5050",45,"54","1","JUDY","5"
"46","5051",46,"23","1","JUDY","3"
"47","5052",47,"23","1","JUDY","3"
"48","5053",48,"53","1","JUDY","5"
"49","5055",49,"38","1","JUDY","4"
"50","5056",50,"38","1","JUDY","4"
"51","5057",51,"38","1","JUDY","4"
"52","5058",52,"43","1","JUDY","1"
"53","5059",53,"43","1","JUDY","1"
"54","5060",54,"43","1","JUDY","1"
"55","5061",55,"44","1","JUDY","1"
"56","5062",56,"44","1","JUDY","1"
"57","5063",57,"44","1","JUDY","1"
"58","5064",58,"44","1","JUDY","1"
"59","5065",59,"36","1","JUDY","4"
"60","5066",60,"36","1","JUDY","4"
"61","5067",61,"36","1","JUDY","4"
"62","5068",62,"36","1","JUDY","4"
